X,Y
36.27671,33.517175
36.305668,33.471206
37.205732,36.310003
37.225272,36.086354
37.201471,36.13687
37.195377,36.124461
37.15242,36.206013
37.24137,36.14144
37.124315,36.046593
37.167543,36.100482
37.267103,36.318433
37.173069,36.132556
37.127591,36.100404
37.213989,36.286585
37.050872,36.118418
37.255374,36.292816
37.199746,36.340773
37.078786,36.093003
37.170543,36.318116
37.158351,36.063744
37.148712,36.333428
37.022807,36.213581
37.241564,36.282374
37.028643,36.165046
37.126986,36.27347
37.053639,36.201667
37.132433,36.070257
37.195259,36.084777
37.154674,36.0923
37.146455,36.096595
37.152312,36.097238
37.100357,36.100432
37.007658,36.118907
37.013096,36.140032
37.155497,36.141234
37.066958,36.141803
37.030006,36.142316
37.189814,36.159798
37.062956,36.16335
37.22344,36.202165
37.065619,36.209909
37.236237,36.220331
37.159722,36.288668
37.193375,36.300716
37.241144,36.312231
37.102876,36.063738
37.098751,36.093424
37.041276,36.12351
37.081717,36.124119
37.108525,36.142907
37.046488,36.153009
37.093307,36.155642
37.05898,36.222702
37.203785,36.266859
37.178224,36.33912
37.289372,36.342257
37.178118,36.353843
37.201482,36.361368
36.903773,36.056548
36.809482,36.194153
36.753668,36.14206
36.828382,36.137884
36.842719,36.183161
36.927951,36.178772
36.739787,36.133376
36.763108,36.089467
36.907159,36.117327
36.88796,36.164687
36.947234,36.147967
36.86464,36.165468
36.914084,36.097265
36.801449,36.117087
36.87354,36.140941
36.98178,36.159701
36.791893,36.163135
36.788264,36.135897
36.893912,36.153422
36.81829,36.157567
36.869476,36.059754
36.95656,36.112171
36.832155,36.078046
36.717474,36.146992
36.852872,36.058345
36.89439,36.099697
36.953125,36.179877
36.945378,36.12849
36.981009,36.143727
36.996744,36.140377
37.175536,35.646455
37.285943,35.773344
37.194197,35.891077
37.196897,35.728295
37.126792,35.744555
37.307131,35.811936
37.130975,35.911319
37.335548,35.803204
37.208801,35.804284
37.275452,35.847159
37.238448,35.876522
37.286547,35.713586
37.222399,35.941861
37.132839,35.605317
37.166599,35.749796
37.224796,35.849927
37.253602,35.807546
37.125106,35.971559
37.206019,35.915127
37.173368,36.013789
37.32706,35.772175
37.177629,35.927764
37.131142,35.709081
37.063189,35.862908
37.324995,35.721165
37.181,35.885808
37.226169,35.896277
37.223009,35.701668
37.318535,35.700742
37.07398,35.837713
